ティッカー,銘柄（英語）,事業内容,市場
CREE,Creeクリー,電子部品メーカー,NASDAQ
CRI,Carter’s Incカーターズ,米国でベビー服と子供服を販売している衣料品販売会社。,NYSE
CRIS,Curis Incキューリス,バイオテクノロジー会社。ヒトの組織片および器官の再生と復元を目的とした治療法を開発。,NASDAQ
CRL,Charles River Laboratories International Incチャールズリバーラボラトリーズインターナショナル,世界の製薬会社、バイオテクノロジー会社、病院、学術機関などを対象に事業を展開している医療関連会社。,NYSE
CRM,Salesforce.comセールスフォース ドット コム,オンデマンドの顧客管理（CRM)ソフト提供会社,NYSE
CRNC,Cerence Inc.セレンス,自動車向けソフトウェアベンダ,NASDAQ
CRNX,Crinetics Pharmaceuticalsクリネティック ファーマシューティカルズ,米国の医薬品企業。臨床段階で、内分泌疾患や内分泌系腫瘍の治療薬の開発・商業化に従事する。,NASDAQ
CRON,Cronos Incクロノス,カナダの医療用大麻事業会社。医療目的大麻規制に基づき、カナダ保健省が発行した医療用大麻生産ライセンスを所有または申請する企業への投資を中心に事業を行う。,NASDAQ
CROX,Crocsクロックス,紳士、婦人、子供用の靴を製造し、小売店チェーンを通じて販売している会社,NASDAQ
CRS,Carpenter Technology Corporationカーペンター テクノロジー,ステンレス鋼、チタン鋼、特殊金属合金の製造、加工、販売に従事している特殊金属メーカー。,NYSE
CRUS,Cirrus Logicシーラス ロジック,混合信号集積回路(IC)を開発する企業,NASDAQ
CRWD,Crowdstrike Holdings Inc Aクラウド ストライク ホールディングス A,ソフトウェア会社。,NASDAQ
CRWS,Crown Craftsクラウン クラフツ,寝室用品などの家庭用織物製品や装飾品を製造している企業,NASDAQ
CRY,Cryolife Incクリオライフ,生育可能なヒト組織を心臓血管、血管、整形外科的移植などへの適用を目的に冷凍保存しているヒト組織バンク。,NYSE
CSCO,Cisco Systemsシスコ システムズ,ネットワーク機器最大手,NASDAQ
CSGP,CoStar Groupコスター グループ,情報提供会社。米国の商業不動産業界と関連業界に建物専門情報を提供する。,NASDAQ
CSGS,CSG Systems InternationalCSGシステムズ インターナショナル,通信産業向けにビジネス・サポート・ソリューションを提供する企業。,NASDAQ
CSII,Cardiovascular Systems カーディオバスキュラーシステムズ,動脈から硬化プラークとカルシウムを取り除く医療機器を開発・製造する医療機器会社。,NASDAQ
CSL,Carlisle Companies Incorporatedカーライル,建築資材、輸送素材などの製造・販売を手掛ける多角的企業。,NYSE
CSOD,Cornerstone OnDemandコーナーストーン オンデマンド,オン・デマンド従業員開発コンピューター・ソフトウエアの開発、販売,NASDAQ
CSX,CSXCSX,国際的運送会社,NASDAQ
CTAS,Cintasシンタス,業務用制服会社,NASDAQ
CTB,Cooper Tire & Rubber Companyクーパー タイヤ アンド ラバー カンパニー,乗用車と軽トラック用交換タイヤの製造・販売に注力している交換タイヤメーカー。,NYSE
CTG,Computer Task Group Incコンピューター タスク グループ,企業コンサルティング、電子事業、IT管理ソリューションを提供コンサルタント会社。,NASDAQ
CTIC,CTI BioPharmaCTI バイオファーマ,副作用の少ない癌治療薬を開発および商品化を手掛けるバイオ医薬品会社,NASDAQ
CTL,Century Linkセンチュリー リンク,総合通信会社,NYSE
CTLT,Catalentキャタレント,薬品、生物製剤、大衆薬の配送技術および開発ソリューションを提供する会社,NYSE
CTMX,CytomX Therapeutics Incサイトムエックス セラピューティクス,腫瘍治療に注力しているバイオ医薬品会社。,NASDAQ
CTRA,Contura Energy Incコントゥラ エナジー,発電用の原料炭および一般炭を供給している石炭採掘サービス会社。,NYSE
CTSH,Cognizant Technology Solutions Aコグニザント テクノロジー ソリューションズ A,カスタムITコンサルタント・テクノロジーサービス会社,NASDAQ
CTVA,Corteva Incコルテバ,大豆などの農産物の種などを提供している会社。,NYSE
CTXS,Citrix Systemsシトリックス システムズ,ソフトウエアメーカー,NASDAQ
CUB,Cubic Corporationキュービック,軍事訓練機器メーカー。,NYSE
CUBI,Customers Bancorp Incカスタマーズ バンコープ,ペンシルベニア州全域で事業を展開する銀行。,NYSE
CURO,Curo Group Holdings Corpキュロ グループ ホールディングス,米国、カナダ、英国において消費者金融サービスを提供している会社。,NYSE
CVA,Covanta Holdingコバンタ ホールティング,廃棄物のエネルギー化と発電プロジェクトを所有・運営,NYSE
CVBF,CVB FinancialCVBファイナンシャル,銀行持株会社,NASDAQ
CVE,Cenovus Energyセノバス エナジー,カナダで原油の生産・精製に従事,NYSE
CVET,Covetrusコベトラス,動物用医薬品事業,NASDAQ
CVI,CVR Energy IncCVRエナジー,独立系精製業・輸送燃料販売会社。,NYSE
CVLT,Commvault Systemsコムボールト システムズ,データ・情報管理ソフトウエア・アプリケーションを開発、販売,NASDAQ
CVNA,Carvanaカーヴァナ,中古車購入のためのeコマースプラットフォームの運営をしている会社,NYSE
CVS,CVS HealthCVS ヘルス,ドラッグストアチェーンを全米で展開,NYSE
CVX,Chevronシェブロン,米国石油大手,NYSE
CW,Curtiss Wright Corporationカーチス ライト,様々な産業向けに技術サービスを提供する精密部品とシステムの設計、製造、整備会社。,NYSE
CWH,Caming World Holdings Inc Aキャンピング ワールド ホールディングス A,子会社を通じて、新型と中古の旅行用トレーラー、トレーラーハウス、衛星放送受信機、発電機、およびキャンピングカー用家電製品などレクリエーショナルビークルと付属品の小売販売を手掛けている持株会社。,NYSE
CWT,California Water Service Groupカリフォルニア ウォーター サービス グループ,上水道サービスを提供している複数の水道事業持株会社,NYSE
CXO,Concho Resourcesコンチョ リソーシズ,石油会社,NYSE
CY,Cypress Semiconductorサイプレス セミコンダクター,半導体メーカー,NASDAQ
CYBR,CyberArk Softwareサイバーアーク ソフトウェア,サイバー攻撃等から企業の重要な特権アカウントの管理などITセキュリティソリューションを提供する企業,NASDAQ
CYH,Community Health Systemsコミュニティー ヘルス システムズ,主要都市部に所有・運営する病院を通じてヘルスケア・サービスを提供,NYSE
CYRX,CryoPortクリオポート,梱包システムメーカー。,NASDAQ
CZR,Caesars Entertainment Corporationシーザーズ エンターテインメント,オンラインゲーム事業も保有し、英国では現金を使ったカジノとポーカー、その他の地域では娯楽用ゲームも提供する。,NASDAQ
CZZ,Cosan Aコザン A,ブラジルで砂糖、エタノールを生産,NYSE
D,Dominion Energyドミニオン エナジー,アメリカで送電、電力供給を行う総合電力持株会社,NYSE
DAIO,Data IOデータIO,米国の電子機器メーカー向けプログラム・システム・メーカー。,NASDAQ
DAKT,Daktronicsダクトロニクス,電子機器装置・部品の米国サプライヤー企業。,NASDAQ
DAL,Delta Air Linesデルタ エアー ラインズ,航空会社,NYSE
DAN,Danaデーナ,自動車および工業市場を対象とした部品・システムの設計、製造、および販売に従事する自動車部品メーカー。,NYSE
DAR,Darling Ingredientsダーリン イングレディエンツ,米国の栄養成分開発メーカー。,NYSE
DARE,Dare Bioscienceデア バイオサイエンス,避妊、膣健康、疼痛、および産婦人科製品を手掛けるヘルスケア会社。,NASDAQ
DB,Deutsche Bankドイチェ バンク,ドイツを代表する総合金融サービス企業,NYSE
DBD,Diebold Nixdorfディボールド ニックスドルフ,米国の自動取引機器およびセキュリティーシステムメーカー。,NYSE
DBI,Designer Brandsデザイナー ブランズ,米国でブランド靴の小売店を運営,NYSE
DBX,Dropbox Aドロップボックス A,ファイル、写真、動画、音楽、スプレッドシートなどを保管・共有できるプラットフォームを提供する会社。,NASDAQ
DCI,Donaldsonドナルドソン,フィルターメーカー,NYSE
DCO,Ducommunデュコマン,民間および軍用航空機､宇宙計画分野を中心に、各種部品の製造・組立を手掛ける航空部品メーカー。,NYSE
DCOM,Dime Community Bancsharesダイム コミュニティ バンクシェアーズ,銀行持株会社。,NASDAQ
DCPH,Deciphera Pharmaceuticals Incデシフィラ ファーマシューティカルズ,臨床段階でがん治療の反応速度を制限する薬剤耐性のメカニズムを研究し、新薬の開発に従事している米国のバイオ医薬品企業。,NASDAQ
DD,DuPont de Nemoursデュポン ド ヌムール,総合化学大手,NYSE
DDD,3D Systemsスリーディー システムズ,3Dプリンタメーカー,NYSE
DDOG,Datadog Inc Aデータドッグ A,クラウドベースのデータ分析ソフトウェアを提供している会社。,NASDAQ
DDS,Dillard’s Inc Aディラーズ A,米国の南西部、南東部、中西部を中心に事業を展開している百貨店。,NYSE
DE,Deereディアー,世界的な農機具メーカー,NYSE
DECK,Deckers Outdoorデッカーズ アウトドア,アウトドアやスポーツ用のシューズ・アクセサリーのメーカー,NYSE
DELL,Dell Technologiesデル テクノロジーズ C,コンピューター製品を提供している会社,NYSE
DENN,Denny'sデニーズ,ファミリーレストランの直営およびフランチャイズ形式で運営。,NASDAQ
DERM,Dermiraデルミラ,皮膚病治療薬の開発・商品化している会社,NASDAQ
DFS,Discover Financial Serviceディスカバー ファイナンシャル サービス,米国第4位のクレジットカード会社,NYSE
DG,Dollar Generalダラー ジェネラル,ディスカウントの小売ストアチェーン,NYSE
DGII,Digi International Incディジ インターナショナル,世界各地の鉄道・エネルギー・産業セクター向けに事業を展開する通信ソフトウエア会社。,NASDAQ
DGLY,Digital Allyデジタル アリー,監視カメラなどを製造するデジタル・セキュリティー製品メーカー,NASDAQ
DGX,Quest Diagnosticsクエスト ダイアグノスティクス,診断用検査、情報、サービスなどを提供する会社,NYSE
DHI,D.R. HortonD.R. ホートン,住宅建築・販売会社,NYSE
DHR,Danaherダナハー,専門器具メーカー,NYSE
DIN,Dine Brands Global Incダイン ブランズ グローバル,レストラン経営会社。,NYSE
DIOD,Diodes Incダイオーズ,ディスクリート（単機能）、ロジック、アナログの半導体部品メーカー。,NASDAQ
DIS,The Walt Disneyウォルト ディズニー,娯楽サービス・メディア大手,NYSE
DISCA,Discovery Aディスカバリー A,ノンフィクション番組制作会社,NASDAQ
DISCK,Discovery Inc Cディスカバリー C,ノンフィクション番組放送会社。,NASDAQ
DISH,DISH Network ADISH ネットワーク A,衛星放送サービス提供会社,NASDAQ
DK,Delek US Holdings IncデレクUSホールディングス,子会社を通じて、石油精製、物流、およびガソリンスタンドでの小売業に従事している持株会社。,NYSE
DKS,Dick's Sporting Goods Aディックス スポーティング グッズ A,スポーツ用品販売店を展開,NYSE
DLB,Dolby Laboratories Aドルビー ラボラトリーズ A,音響技術開発会社,NYSE
DLTR,Dollar Treeダラー ツリー,1ドルショップチェーンを運営,NASDAQ
DLX,Deluxe Corpデラックス,小切手印刷および関連ビジネスサービス会社。,NYSE
DMRC,Digimarc Corporationデジマーク,技術サービス会社。ソリューション、知的所有権ライセンス、および開発サービスを提供。,NASDAQ
DNKN,Dunkin' Brands Groupダンキン ブランズ グループ,ドーナツチェーンを展開,NASDAQ
DNLI,Denali Therapeutics Incデナリ セラピューティクス,アルツハイマー病、パーキンソン病、筋萎縮性側索硬化症（ALS)などに代表される神経変性疾患に対する治療薬の発見・開発に従事する米国のバイオ医薬品会社。,NASDAQ
DNOW,NOWナウ,資源会社向けに掘削機器やメンテナンス用品を販売,NYSE
DNR,Denbury Resourcesデンベリー リソーシーズ,石油・ガス生産会社,NYSE
DO,Diamond Offshore Drillingダイヤモンド オフショア ドリリング,石油 ・ガスのオフショア掘削受託会社,NYSE
DOCU,DocuSignドキュサイン,米国の電子署名サービスとデジタル・トランザクション・マネジメントのプラットフォームを提供する会社。,NASDAQ
DOMO,Domo Bドーモ B,米国のIT・ソフトウェア企業。,NASDAQ
DORM,Dorman Products Incドーマン プロダクツ,自動車・大型交換部品、締め金具、空気サスペンション、リモートキーレスエントリー、ウインドウレギュレーター、ドアロック作動装置、装填ナックル、その他の製品を販売する自動車用品・家庭用金物類販売会社。,NASDAQ
DOV,Doverドーバー,各種専門工業製品と製造機器の メーカー,NYSE
DOW,Dow Incダウ,化学製品を製造している化学品メーカー。,NYSE
DPZ,Domino's Pizzaドミノ ピザ,宅配ピザチェーンを展開,NYSE
DRI,Darden Restaurantsダーデン レストランツ,北米でカジュアルレストランを運営,NYSE
DRNA,Dicerna Pharmaceuticals Incディセルナ ファーマシューティカルズ,肝疾患およびがん治療用のリボ核酸の発見・開発に従事バイオ医薬品メーカー。,NASDAQ
DRQ,Dril Quip Incドリル クイップ,世界各地のオフショア地域で石油・ガス企業が使用する海中、海上、オフショアリグ機器用の製品を提供する海洋掘削・生産機器メーカー。設備の設営・修理のほかリースも手掛ける。,NYSE
DSKE,Dasekeダースキー,北米で事業を展開する輸送会社。,NASDAQ
DSPG,DSP Group IncDSPグループ,集中型通信用システムオンチップ（SoC）ソリューションを開発・販売する、実際の工場を所有しない半導体会社。,NASDAQ
DT,Dynatrace Incダイナトレース,クラウドサービスのためのプラットフォームを提供する会社。,NYSE
DTE,DTE EnergyDTE エナジー,総合エネルギー会社,NYSE
DUK,Duke Energyデューク エナジー,多角化多国籍化したエネルギー企業。天然ガスと電力を供給する,NYSE
DVA,DaVitaダヴィータ,人工透析サービス会社,NYSE
DVD,Dover Motorsports Incドーバーモータースポーツ,米国のモータースポーツ・イベント企画会社。,NYSE
DVN,Devon Energyデボン エナジー,独立系エネルギー会社,NYSE
DXC,DXC TechnologyDXCテクノロジー,ITサービスを提供する会社,NYSE
DXCM,DexComデクスコム,医療機器メーカー。糖尿病患者向け血糖値モニタリング・システムの設計・開発。,NASDAQ
DY,Dycom Industries Incダイコム インダストリーズ,信およびインフラ産業向けに特殊請負サービスを提供しているエンジニアリング会社。,NYSE
EA,Electronic Artsエレクトロニック アーツ,大手ゲームソフトメーカー,NASDAQ
EAF,GrafTech Internationalグラフテック・インターナショナル,天然、合成グラファイトやカーボンベースの製品とサービスを手掛ける電極メーカー｡黒鉛電極、石油ニードルコーク等を提供する会社。,NYSE
EAT,Brinker Internationalブリンカー インターナショナル,世界でフランチャイズレストランを所有・運営,NYSE
EB,Eventbrite Inc Aイベントブライト A,オンラインチケットサービスを提供している。,NYSE
EBAY,eBayイーベイ,インターネット競売最大手,NASDAQ
EBF,Ennisエニス,印刷・アパレル販売会社。,NYSE
EBIX,Ebixイービックス,ソフトウェア・ソリューションや製品を提供する保険業界向けソフトウェアメーカー。,NASDAQ
EBS,Emergent BioSolutionsエマージェント バイオソリューションズ,米国の製薬メーカー。,NYSE
EBSB,Meridian Bancorp Incメリディアン バンコープ,米国の銀行持株会社。,NASDAQ
EBTC,Enterprise Bancorpエンタープライズ バンコープ,商業および消費者ローン、預金、投資管理、信託、保険アービスなどの業務を手掛ける。,NASDAQ
ECA,Encanaエンカナ,カナダの石油・ガス会社,NYSE
ECHO,Echo Global Logisticsエコ グローバル ロジスティクス,国内航空輸送、急送・国際輸送サービスを手掛ける米国の輸送・サプライチェーンマネジメントサービス会社。,NASDAQ
ECL,Ecolabエコラブ,ホテル・接客業、産業向けクリーニング、殺菌・害虫駆除、メンテナンスなどの関連製品およびサー ビスを提供,NYSE
ECOL,Us EcologyUSエコロジー,廃棄物処理会社。,NASDAQ
ECOM,ChannelAdvisorチャンネルアドバイザー,電子商取引マーケットなどのため、小売業者や製造業者にオンライン・チャンネルを提供している企業。,NYSE
ECPG,Encore Capital Groupアンコール キャピタル グループ,債務不履行となった受取債権のポートフォリオを銀行や信用組合、公益事業体から買い取る債権買取会社。,NASDAQ
ED,Consolidated Edisonコンソリデーテッド エジソン,米国電力大手。ニューヨーク市に電力を供給するほか、マンハッタンにガスを供給している,NYSE
EDIT,Editas Medicineエディタス メディシン,ゲノム編集会社,NASDAQ
EDTX,Edtechx Holdings Acquisition Corpエドテクス ホールディングス アクイジション,イギリスのブランクチェックカンパニー（白地小切手会社）。,NASDAQ
EDUC,Educational Developmentエデュケーショナル デベロップメント,ホーム事業部門と出版部門の2部門で構成され本を販売している米国の取引出版社。,NASDAQ
EE,El Paso Electric Coエルパソ エレクトリック,テキサス州西部およびニューメキシコ州南部で発電、配電、送電を手掛けている電力会社。,NYSE
EEFT,Euronet Worldwide Incユーロネット ワールドワイド,電子金融取引ソリューションを提供している企業。,NASDAQ
EEX,Emerald Expositions Events Incエメラルド エクスポジションズ イベンツ,米国のビジネス・サービス企業。,NYSE
EFX,Equifaxエキファックス,財務、法務、広告宣伝、税務 などの集中管理サービスを提供する会社,NYSE
EGBN,Eagle Bancorp Incイーグル バンコープ,不動産・商業・消費者ローンをはじめ、従来の当座預金や貯蓄用商品などを提供するEagleBankの持株会社。メリーランド州モントゴメリー郡を中心に事業を展開。,NASDAQ
EGHT,8X8 Incエイト バイ エイト,VolP（インターネットプロトコルを使った音声伝送システム）作成用プラットフォーム、インターネット用PBXソリューション、音声・画像用半導体および関連ソフトウエアを手掛ける。,NYSE
EGO,Eldorado Goldエルドラド ゴールド,カナダの鉱山会社,NYSE
EGOV,NIC IncNIC,地方自治体（州および市町村）と長期契約を締結し、インターネット・ベースの自治体規模ポータルを設計、構築、運営するサービス会社。,NASDAQ
EGRX,Eagle Pharmaceuticalsイーグル ファーマシューティカルズ,主に救命救急診療と腫瘍学分野で使用される注射剤製品を開発・販売する特殊医薬品メーカー。,NASDAQ
EGY,VAALCO Energyバールコ エナジー,原油および天然ガス田の 買収、探査、開発を手掛けている石油ガス会社。フィリピンとガボンに生産用の油田を保有し、探査活動も展開している。,NYSE
EHC,Encompass Health Corporationエンコンパスヘルス,入院専門のリハビリ病院、外来リハビリ施設、在宅看護会社を運営。,NYSE
EHTH,eHealth Incイー ヘルス,インターネットを通じて健康保険を販売する。個人、家族、中小企業を対象にサービスを提供する保険会社。短期、歯科、眼科、グループ、生命、傷害、重病、ペット、旅行などの保険サービスを提供する。,NASDAQ
EIGI,Endurance Internationalエンデュランス インターナショナル,電子メール、セキュリティー、ストレージなどのサービスをクラウドベースで提供,NASDAQ
EIX,Edison Internationalエジソン インターナショナル,子会社を通じて、世界各地で発電所の建設、買収、所有、運営を行う会社,NYSE
EKSO,Ekso Bionics Holdingsエクソ バイオニクス ホールディングス,人体の強さや耐久性、移動性を支援・強化する外骨格ロボットを開発している会社,NASDAQ
EL,Estee Lauder Aエスティ ローダー A,化粧品メーカー,NYSE
ELAN,Elanco Animal Health Incエランコ アニマル ヘルス,食品やコンパニオンアニマル用の動物用健康食品を開発、製造、販売している。,NYSE
ELF,ELF Beauty Ince.l.f.ビューティー,化粧品メーカー。,NASDAQ
ELGX,Endologix Incエンドロジックス,血管疾患の治療に用いる低侵襲性療法の開発、製造、販売会社。,NASDAQ
ELY,Callaway Golfキャラウェイ ゴルフ,ゴルフクラブの設計・製造・販売をしている会社。,NYSE
EMCF,Emclaire Financial Corpエムクレア ファイナンシャル,The Farmers National Bank of Emlentonの持株会社。,NASDAQ
EME,EMCOR Group Incエムコア グループ,世界各地で機械設備・電力設備の建設および管理サービスを手掛けるエンジニアリング会社。,NYSE
EMKR,EMCOREエムコア,ブロードバンド、光ファイバーなど幅広い製品を提供する通信サービス会社。,NASDAQ
EMMS,Emmis Communications Corporation Aエミス コミュニケーションズ A,総合メディア会社。ラジオ放送、テレビ放送、および雑誌出版を手掛ける。,NASDAQ
EMN,Eastman Chemicalイーストマン ケミカル,世界的な化学品メーカー,NYSE
EMR,Emerson Electricエマソン エレクトリック,産業用自動機器などの電子製品を製造販売,NYSE
ENB,Enbridgeエンブリッジ,カナダでエネルギーの輸送、配給や関連サービスを提供,NYSE
ENDP,Endo Internationalエンドー インターナショナル,アイルランドにある鎮痛剤を主力とする特殊医薬品メーカー,NASDAQ
ENPH,Enphase Energy Incエンフェーズ エナジー,太陽光発電のソリューション会社。,NASDAQ
ENR,Energizer Holdingsエナジャイザー ホールディングズ,乾電池・懐中電灯メーカー,NYSE
ENS,EnerSysエナーシス,産業用バッテリーメーカー。,NYSE
ENSG,Ensign Group Incエンサイン グループ,看護・リハビリサービス会社。,NASDAQ
ENTG,Entegris Incインテグリス,資材管理製品メーカー。,NASDAQ
ENV,Envestnet Incエンベストネット,コンピューターソフトウエア会社。,NYSE
ENVA,Enova International Incエノバ インターナショナル,ノンプライム層の消費者および小規模企業向けにオンライン金融サービスを提供する金融会社。,NYSE
EOG,EOG ResourcesEOG リソーシズ,石油・天然ガス会社,NYSE
EOLS,Evolus Incエボラス,美容医療のための麻酔を開発・製造・販売している会社。,NASDAQ
EPAC,Enerpac Tool Group Aエナパック ツール グループ A,業務用の多様な電動および産業用工具のブランド品を油圧・電動機器の卸売り業者、通販、小売り業者に提供している工業製品・システムメーカー。,NYSE
EPAM,EPAM SystemsEPAMシステムズ,ITサービス会社。,NYSE
EPAY,Bottomline Technologies DE Incボトムライン テクノロジーズ,界各地の企業、金融機関、および銀行向けに、共同決済、請求書、および文書自動化のソリューションを提供している決済ソリューション会社。,NASDAQ
EPC,Edgewell Personal Careエッジウェル パーソナル ケア,消費者用製品メーカー,NYSE
EPZM,Epizyme Incエピザイム,がん治療薬の開発、発見に従事する製薬会社。,NASDAQ
EQH,AXA Equitableエクイタブル生命保険,子会社を通じて、保険、ポートフォリオ構築、退職計画、資産配分、仲介、財務計画、不動産などの金融サービスを提供している。,NYSE
EQT,EQTEQT,総合エネルギー会社,NYSE
ERI,Eldorado Resorts Incエルドラド リゾーツ,リゾート施設運営会社。リゾート施設チェーンの保有および運営に従事。,NASDAQ
ERIE,Erie Indemnity Company Aエリー インデムニティー A,エリー・インシュアランス・エクスチェンジの管理に従事する保険会社。,NASDAQ
ERII,Energy Recovery Incエナジー リカバリー,浄水装置メーカー。,NASDAQ
ES,Eversource Energyエバーソース エナジー,米国北東部を中心に電力を供給,NYSE
ESE,ESCO Technologies Incエスコ テクノロジーズ,電力、ガス、水道など公益事業を対象とした特殊目的用通信システムのほか、最新のメーターアプリケーションをサポートするソフトウエアを提供している会社。,NYSE
ESLT,Elbit Systemsエルビット システムズ,イスラエルの防衛システム会社,NASDAQ
ESPR,Esperion Therapeutics Incエスペリオン セラピューティクス,医療機器の開発・販売会社。低密度リポ・タンパク・コレステロール濃度の上昇抑制、および他のカルディオメタボリック・リスクに特化した経口療法と小分子療法を開発する。,NASDAQ
ETFC,E*TRADE Financialイートレード ファイナンシャル,大手オンライン証券会社,NASDAQ
ETM,Entercom Communications Corp Aエンターコム コミュニケーションズ A,多ジャンルのFM／AM局を所有・運営する米国のラジオ放送会社。,NYSE
ETN,Eatonイートン,商工業用、自動車用、建設用、半導体関連などの機器メーカー,NYSE
ETR,Entergyエンタジー,総合エネルギー会社,NYSE
ETSY,Etsyエッツィ,世界最大のハンドメイドマーケットプレイスを展開する会社,NASDAQ
EV,Eaton Vanceイートン バンス,投資ファンドを運用,NYSE
EVBG,Everbridgeエバーブリッジ,ソフトウェア企業、重要な状況で多数の人々にメッセージングを提供するSaaS(software-as-a-service)プラットフォームを提供している。,NASDAQ
EVER,Everquote Aエバークォート A,米国の保険関連ITサービス企業。主にオンラインでの保険の見積もり比較や加入サービスを提供する。,NASDAQ
EVH,Evolent Health Inc Aエボレント ヘルス A,専用プラットフォームの提供会社。,NYSE
EVOP,Evo Payments AEVOペイメンツ A,支払い技術およびサービスプロバイダーとして運営されている。小規模企業から多国籍企業に至る販売業者に支払いソリューションを提供。,NASDAQ
EVRG,Evergyエバジー,電力会社,NYSE
EVRI,Everi Holdings Incエブリ ホールディングス,持株会社。子会社を通じ、ゲーム産業向けにカジノゲームの設計・開発・製造を手掛ける。,NYSE
EW,Edwards Lifesciencesエドワーズ ライフサイエンス,末期循環器疾患の治療製品・サービス会社,NYSE
EWBC,East West Bancorpイースト ウエスト バンコープ,商業・建設・不動産ローンや国際貿易の資金調達などに特化する銀行持株会社,NASDAQ
EXAS,Exact Sciencesイグザクト サイエンシズ,米国の癌検出製品メーカー。,NASDAQ
EXC,Exelonエクセロン,電力、天然ガスの供給会社,NASDAQ
EXEL,Exelixis Incエクセリクス,バイオテクノロジー会社。,NASDAQ
EXP,Eagle Materials Incイーグル マテリアルズ,セメント、石膏壁板、リサイクル板紙、コンクリート、骨材を製造、販売。,NYSE
EXPD,Expeditors International of Washingtonエクスペディターズ インターナショナル オブ ワシントン,世界的なロジスティクス会社,NASDAQ
EXPE,Expedia Groupエクスペディア グループ,オンライン旅行サービス最大手,NASDAQ
EXPI,eXp World HoldingseXpワールド ホールディングス,米国の不動産事業持株会社。子会社を通じ、居住用不動産仲介業務を行う。,NASDAQ
EXPO,Exponentエクスポーネント,科学・エンジニアリング関連コンサルティング会社。,NASDAQ
EXPR,Expressエクスプレス,20代・30代向けの衣料SPA,NYSE
EXTR,Extreme Networksエクストリーム ネットワークス,データ通信ネットワーク機器メーカー,NASDAQ
EYE,National Vision Holdings Incナショナル ビジョン ホールディングス,子会社を通じて、眼鏡の製造・販売、コンタクトレンズの販売、検眼サービスなどに従事している会社。,NASDAQ
EZPW,Ezcorp Aイージーコープ A,質店を展開,NASDAQ
F,Ford Motorフォード モーター,大手自動車メーカー,NYSE
FAF,First American Financialファースト アメリカン ファイナンシャル,損害保険事業を運営,NYSE
FANG,Diamondback Energyダイヤモンドバック エナジー,独立系石油・天然ガス会社。,NASDAQ
FAST,Fastenalファスナル,工業・建設資材の供給会社,NASDAQ
FAT,FAT Brands Incファット ブランズ,世界各地で主にファーストフードレストランの開発、市場参入、買収を手掛けているフランチャイズレストラン運営企業。,NASDAQ
FB,Facebook Aフェイスブック A,ソーシャルネットワークサービス（SNS）運営大手,NASDAQ
FBC,Flagstar Bancorp Incフラッグスター バンコープ,フラッグスター・バンクを保有している銀行持株会社。,NYSE
FBHS,Fortune Brands Home & Securityフォーチュン ブランズ ホーム & セキュリティ,家庭・セキュリティー製品メーカー,NYSE
FCEL,FuelCell Energyフューエルセル エナジー,燃料電池発電の開発・販売,NASDAQ
FCF,First Commonwealth Financial Corporationファースト コモンウェルス ファイナンシャル,各種金融サービスを手掛ける銀行持株会社。,NYSE
FCFS,FirstCash Incファーストキャッシュ,各店舗を通じて、現金および信用に制約のある消費者にサービスを提供する質店を運営。,NASDAQ
FCNCA,First Citizens BancShares Inc Aファースト シチズンズ バンクシェアーズ A,ノースカロライナ州でFirst-CitizensBank&TrustCompanyおよびIronstoneBankを保有する持株会社。,NASDAQ
FCX,Freeport-Mcmoranフリーポート マクモラン,大手鉱山会社。主に金、銅、モリブデンを採掘,NYSE
FDS,FactSet Research Systemsファクトセット リサーチ システムズ,金融情報サービスを配信,NYSE
FDX,FedExフェデックス,運輸業、国内翌日配送の最大手,NYSE
FE,First Energyファースト エナジー,公益事業持株会社,NYSE
FEYE,FireEyeファイアアイ,マルウェアやスパイウェア対策のセキュリティソフトメーカー,NASDAQ
FFIN,First Financial Bankshares Incファースト ファイナンシャル バンクシェアーズ,テキサス州で複数の銀行を運営する複数銀行持株会社。,NASDAQ
FFIV,F5 NetworksF5 ネットワークス,インターネットトラフィック・コンテンツの管理ソリューションを提供,NASDAQ
FG,FGL HoldingsFGLホールディングス,定額年金と生命保険商品を提供する。米国で事業を展開するケイマン籍の保険会社。,NYSE
FGEN,FibroGenフィブロジェン,新薬の開発・商業化に特化した医薬品会社,NASDAQ
FHB,First Hawaiianファーストハワイアン,子会社を通じ、貯蓄口座、個人ローンおよびビジネスローン、などの銀行商品およびサービスを提供している企業,NASDAQ
FHN,First Horizon Nationalファースト ホライゾン ナショナル,金融サービス持株会社,NYSE
FICO,Fair Isaacフェア アイザック,予測分析と意思決定管理ソフトウェアのリーディングプロバイダー,NYSE
FIS,Fidelity National Informationフィディリティ ナショナル インフォメーション,支払い業務サービス,NYSE
FISV,Fiservフィサーブ,総合的な情報管理・電子コマースシステムのサービス会社,NASDAQ
FIT,Fitbit Aフィットビット A,フィットネスと健康分野のワイヤレスウェアラブル機器メーカー,NYSE
FITB,Fifth Third Bancorpフィフス サード バンコープ,総合金融サービス会社,NASDAQ
FIVE,Five Belowファイブ ビロウ,キッズ向けを中心とした5ドルチェーン店を展開,NASDAQ
FIVN,Five9 Incファイブ9,クラウドコンタクトセンター向けソフトウエア会社。,NYSE
FIXX,Homology Medicines Incホモロジー メディシンズ,バイオテクノロジー会社。,NASDAQ
