ティッカー,銘柄（英語）,事業内容,市場
ADVM,Adverum Biotechnologies アドベラム バイオテクノロジーズ,希少疾患の患者向けの新薬発見・開発を手掛けるバイオテクノロジー会社。遺伝子治療法を提供している会社。,NASDAQ
ADXS,Advaxisアドバキス,がん治療薬のワクチンの開発を手掛けるバイオテクノロジー会社,NASDAQ
AE,Adams Resources & Energyアダムス リソーシズ アンド エナジー,油田とガス田を探鉱・開発し、タンクローリーで液体化学品を輸送する、原油と天然ガスの購入・供給・販売会社。,NYSE American
AEE,Amerenアメレン,公益事業持株会社,NYSE
AEGN,Aegionエイジオン,産業用パイプラインの構造復旧・強化のための技術・サービスを提供している会社。,NASDAQ
AEIS,Advanced Energy Industriesアドバンストエナジーインダストリーズ,精密機器メーカー。,NASDAQ
AEL,American Equity Investment Lifeアメリカエクイティインベストメントライフ,年金・生命保険の引受、販売、管理を展開している保険会社。,NYSE
AEM,Agnico Eagle Minesアグニコ イーグル マインズ,カナダの金鉱会社,NYSE
AEMD,Aethlon Medicalエスロン メディカル,がんや感染症疾患治療用ろ過装置の開発、製造に従事する医療機器メーカー。,NASDAQ
AEO,American Eagle Outfittersアメリカン イーグル アウトフィッターズ,カジュアルアパレルの製造・小売に従事,NYSE
AEP,American Electric Powerアメリカン エレクトリック パワー,公益事業持株会社,NYSE
AERI,Aerie Pharmaceuticalsアエリー ファーマシューティカルズ,緑内障およびその他の眼病治療用の医薬品の発見、開発、販売に従事する医薬品メーカー。,NASDAQ
AES,AESAES,電力会社,NYSE
AFG,American Financial Groupアメリカン ファイナンシャル グループ,課税繰延年金保険、生命保険、補完的医療保険などの商品を販売する障害保険会社。,NYSE
AFI,Armstrong Flooringアームストロング フローリング,住宅・ 商業・公共施設建設用の弾性・木質床材製品を設計、製造、販売する床材メーカー。,NYSE
AFL,Aflacアフラック,医療保険販売,NYSE
AGCO,AGCOアグコ,世界的な農業機械メーカー,NYSE
AGEN,Agenusアジェナス,脳腫瘍、腎臓がんなどの治療用ワクチンの研究に従事するワクチン開発会社。,NASDAQ
AGFS,AgroFresh Solutionsアグロフレッシュ ソリューションズ,新鮮な食材の保存と廃棄物削減ソリューションを提供する企業。,NASDAQ
AGIO,Agios Pharmaceuticalsアジオス ファーマシューティカルズ,バイオ医薬品会社,NASDAQ
AGLE,Aeglea BioTherapeuticsアエグリア バイオセラピューティクス,先天性の代謝疾患やがん治療のための治療用酵素の開発に注力する米国のバイオテクノロジー企業。,NASDAQ
AGM,Federal Agricultural Mortgage Cフェデラルアグリカルチャラルモーゲージ C,モーゲージ流通市場を提供する米国の会社。,NYSE
AGN,Allerganアラガン,大手製薬会社,NYSE
AGR,Avangridアバングリッド,米国の総合エネルギー・公益事業会社。クリーンエネルギーを提供する。また、発電・天然ガス貯蔵施設の保有・運営も手掛ける。,NYSE
AGRX,Agile Therapeuticsアジャイル セラピューティクス,女性のヘルスケア製品に特化した米国の医薬品開発会社。,NASDAQ
AGS,PlayAGS IncプレイAGS,スロットマシーンゲームや携帯端末向けソーシャルゲームのコンテンツ開発などを総合的に取り扱うゲーム開発会社。,NYSE
AGTC,Applied Genetic Technologiesアプライド ジェネティック テクノロジーズ,新しい治療法の研究開発に従事するバイオ医薬品会社。,NASDAQ
AGX,Arganアルガン,エネルギー施設の設計・建設会社。,NYSE
AHC,AH Belo AAH ベロ A,米国の日刊紙出版会社。,NYSE
AIG,American International Groupアメリカン インターナショナル グループ,生損保・金融サービス大手,NYSE
AIMC,Altra Industrial Motionアルトラ インダストリアル モーション,米国の動力伝導装置メーカー。,NASDAQ
AIMT,Aimmune Therapeuticsエイミューン セラピューティクス,食品アレルギーのための治療薬の開発に注力する臨床段階のバイオ医薬品メーカー。,NASDAQ
AIN,Albany International Aアルバニー インターナショナル A,繊維・材料加工会社。,NYSE
AIR,AARエイエイアール コーポレーション,航空機関連サービス企業。,NYSE
AIRG,Airgainエアゲイン,住居や事業所などにおいてワイヤレス環境を提供するアンテナの開発・製造・販売に従事するワイヤレス・テクノロジー企業。,NASDAQ
AIRT,Air Tエアー ティー,宅急便業界に対して夜間航空貨物サービス、空港における地上業務支援設備の提供を手掛ける航空貨物サービス会社。,NASDAQ
AIT,Applied Industrial Technologiesアプライドインダストリアルテクノロジーズ,工業用ゴム製品や直動装置、安全装置などを取り扱う工業製品メーカー。,NYSE
AIZ,Assurantアシュラント,保険会社,NYSE
AJG,Arthur J. Gallagherアーサー J. ギャラガー,保険仲介やリスク管理サービスを提供,NYSE
AJRD,Aerojet Rocketdyne Holdingsエアロジェット ロケットダイン HD,防衛・宇宙アプリケーション向け推進システム、ロケットやミサイルなどの開発・製造に従事する航空宇宙・防衛製品メーカー。,NYSE
AKAM,Akamai Technologiesアカマイ テクノロジーズ,大手コンテンツ配信企業,NASDAQ
AKBA,Akebia Therapeuticsアケビア セラピューティクス,腎疾患患者向けの低酸素誘導性因子（HIF）生物学に基づく新規治療薬を開発、販売する医薬品メーカー。,NASDAQ
AKCA,Akcea Therapeutics Incアクシア セラピューティクス,脂質疾患に起因する代謝性疾患治療薬の開発・商業化を手掛ける臨床最終段階のバイオ医薬品会社。,NASDAQ
AKRX,Akornエイコーン,眼科と注射医療薬を開発、製造、販売する製薬会社,NASDAQ
AKS,AK Steel HoldingAK スチール ホールディング,子会社を通して炭素鋼、ステンレス、電気圧延鋼板を生産する鉄鋼持株会社,NYSE
AL,Air Leaseエア リース,航空機のリース事業を展開,NYSE
ALB,Albemarleアルベマール,特殊化学品メーカー,NYSE
ALCO,Alicoアリコ,かんきつ類栽培、牧畜、サトウキビと芝の栽培、木材などさまざまな事業を手掛けるアグリビジネス企業。,NASDAQ
ALDX,Aldeyra Therapeuticsアルデイラ セラピューティクス,ドライアイ疾患、その他の目の炎症の治療に関する研究も手掛ける免疫介在性疾患治療薬の研究・開発会社。,NASDAQ
ALE,ALLETEアレッテ,発電・送電・配電のほか、個人・法人向けに電力販売も手掛けるエネルギー会社。,NYSE
ALG,Alamo Groupアラモ グループ,工業、農業のエンドユーザーにトラクター取り付けタイプの大型芝刈り機 や野菜栽培用機械・交換部品等の製品を提供している｡,NYSE
ALGN,Align Technologyアライン テクノロジー,歯列矯正システムの設計、製造、販売,NASDAQ
ALGT,Allegiant Travelアレジアント トラベル,小都市から世界的な名所への旅行サービスを提供,NASDAQ
ALIM,Alimera Sciencesアリメラ サイエンシーズ,処方目薬の研究、開発、商業化に従事するバイオ医薬品会社。,NASDAQ
ALK,Alaska Air Groupアラスカ エア グループ,子会社を通して、複数の都市に旅客機サービスを提供する航空持株会社,NYSE
ALKS,Alkermesアルカームス,薬剤の送達に関する研究開発を行うアイルランドの会社,NASDAQ
ALL,Allstateオールステート,米国およびカナダで子会社を通じて、財産保険、賠償責任保険、その他の保険を提供,NYSE
ALLK,Allakos Incアラコス,臨床段階で、アレルギー性疾患、炎症性疾患および増殖性疾患の治療用抗体の開発に従事するバイオ医薬品企業。,NASDAQ
ALLO,Allogene Therapeutics Incアロジーン セラピューティクス,米国のバイオテクノロジー企業。臨床試験段階のがん免疫細胞療法「AlloCAR T」の開発に従事している。,NASDAQ
ALLY,Ally Financialアライ フィナンシャル,自動車金融サービス会社,NYSE
ALNY,Alnylam Pharmaceuticalsアルナイラム ファーマシューティカルズ,リボ核酸干渉法に基づく治療薬を開発する生物医薬品会社,NASDAQ
ALPN,Alpine Immune Sciencesアルパイン イミューン サイエンシズ,米国の臨床段階の製薬会社。,NASDAQ
ALRM,Alarm.Com Holdingsアラーム ドットコム ホールディングス,ソフトウェア会社。,NASDAQ
ALRN,Aileron Therapeuticsエイルロン セラピューティクス,臨床段階で、治療用ペプチド薬品の開発・商品化に従事するバイオ医薬品企業。,NASDAQ
ALSK,Alaska Comm Systems Groupアラスカ コミュニケーションズ システムズ,電話、ネットワークホスティング、情報技術管理、クラウドベースのサービス、料金請求・回収、地域・長距離サービスを提供する。,NASDAQ
ALSN,Allison Transmission Holdingsアリソン トランスミッション ホールディングス,自動車用の変速機メーカー,NYSE
ALT,Altimmuneアルティミュン,臨床段階の免疫治療バイオテクノロジー会社。,NASDAQ
ALTR,Altair Engineering Aアルテア エンジニアリング A,シミュレーション技術とサービスを提供する会社。同社は、製品エンジニアリング、工業デザイン、技術アプリケーション等を提供している。,NASDAQ
ALV,Autoliv Incオートリブ,自動車メーカー向け自動車安全装置の設計・製造に従事している企業｡,NYSE
ALXN,Alexion Pharmaceuticalsアレクション ファーマシューティカルズ,バイオ医薬品メーカー,NASDAQ
AM,Antero Midstream Corporationアンテロ ミッドストリーム,ミッドストリームエネルギー資産を保有、運営、開発しているエネルギー会社。,NYSE
AMAG,AMAG Pharmaceuticalsアマッグファーマシューティカルズ,独自のナノ分子技術を利用した貧血治療用の鉄分化合物などの開発・商品化を手掛けるバイオ医薬品メーカー。,NASDAQ
AMAL,Amalgamated Bank Aアマルガメート バンク A,個人、中小企業、商業顧客に包括的な金融サービスを提供している。,NASDAQ
